config,FULL_excess,FULL_dd,FULL_sharpe,FULL_holds,WF0_excess,WF0_dd,WF0_sharpe,WF0_holds,WF2_excess,WF2_dd,WF2_sharpe,WF2_holds,WF3_excess,WF3_dd,WF3_sharpe,WF3_holds
BASE (v1.0),19.3,-41.7,1.13,54.4,-9.2,-41.7,0.74,51.0,33.3,-21.5,1.25,57.0,80.1,-36.8,1.72,58.9
"Grid_best (rs=80,52wH>-20,vt=1.0,adtv=25)",4.2,-40.5,0.82,41.9,-14.4,-40.5,0.57,39.2,18.3,-25.5,0.85,43.4,45.8,-34.3,1.39,46.1
BASE + sector_res<0.90,-20.1,-8.0,0.26,13.7,-26.1,-7.8,0.44,12.7,-2.9,-6.6,-0.23,20.5,-22.2,-3.2,0.85,10.5
BASE + sector_res<0.95,-19.9,-7.8,0.29,15.6,-26.1,-7.8,0.43,14.4,-2.9,-6.4,-0.21,23.0,-21.6,-3.3,1.0,12.4
BASE + sector_res<1.00,-18.0,-7.8,0.61,17.5,-22.4,-5.1,1.01,16.1,-2.4,-6.4,-0.11,24.9,-22.1,-4.1,0.67,14.6
BASE + 52wL>50%,19.3,-41.7,1.13,40.6,-9.3,-41.7,0.73,38.6,33.4,-21.4,1.25,32.0,80.1,-36.8,1.72,51.2
BASE + 52wL>30%,19.3,-41.7,1.13,52.4,-9.2,-41.7,0.74,49.6,33.3,-21.6,1.25,51.4,80.1,-36.8,1.72,58.5
BASE + 52wL>20%,19.3,-41.7,1.13,53.9,-9.2,-41.7,0.74,50.7,33.3,-21.5,1.25,55.5,80.1,-36.8,1.72,58.9
BASE + ad_slope>0,3.0,-35.8,1.01,15.2,-25.8,-35.8,0.22,14.5,32.8,-19.3,1.64,13.9,49.1,-28.2,1.85,17.6
BASE + ad_slope>0.1,-15.3,-17.5,0.65,1.7,-25.2,-15.6,0.4,2.3,11.2,-17.5,0.92,1.4,-20.7,-3.5,0.98,0.9
BASE + pocket_pivot>0.5,-6.1,-23.8,0.86,23.0,-20.5,-23.8,0.53,20.5,3.5,-17.3,0.43,26.9,15.9,-15.5,1.56,24.9
BASE + pocket_pivot>1.0,-12.6,-19.1,0.8,9.9,-25.9,-19.1,0.29,7.8,-1.9,-9.1,0.0,12.9,4.9,-8.9,1.72,11.7
BASE + spring>0,-17.4,-13.6,0.57,2.7,-26.2,-13.6,0.43,2.6,12.7,-3.6,1.5,2.5,-25.0,-8.3,0.01,3.3
BASE + spring>0.5,-17.4,-13.6,0.57,2.6,-26.2,-13.6,0.43,2.5,12.7,-3.6,1.5,2.4,-25.1,-8.3,-0.0,3.1
BASE + sector_res<1.0 + 52wL>30%,-18.0,-7.8,0.61,16.1,-22.4,-5.1,1.01,15.0,-2.4,-6.4,-0.11,20.9,-22.1,-4.1,0.67,14.3
BASE + sector_res<1.0 + ad_slope>0,-19.2,-5.7,0.57,4.1,-25.0,-3.6,0.83,3.8,-1.4,-2.4,0.18,5.3,-22.5,-2.8,0.74,3.8
