date,qqq_close,dist_days,upvol,fwd10,fwd20,fb_old,fb_new
2024-03-14,439.1400146484375,0.0,0.43692429526222126,1.1089845959690647,-0.19812032739994212,20,3
2024-03-15,433.9200134277344,0.0,0.3825473187561618,2.541942855358492,-0.659111306378346,20,0
2024-03-18,437.4800109863281,1.0,0.4463098661955642,0.8297463367641367,-1.458353461322348,17,3
2024-03-19,438.57000732421875,1.0,0.4526840358320522,0.8048883234934134,-2.9026177745249404,17,3
2024-03-20,443.7699890136719,1.0,0.5076407556378866,-1.8996310891860602,-4.587959045363754,17,7
2024-03-21,445.8699951171875,1.0,0.5004559541341538,-1.211113991885704,-7.002041304102025,17,7
2024-03-22,446.3800048828125,1.0,0.4534540649435487,-1.2948605932325052,-6.174111128886484,17,3
2024-03-25,444.760009765625,1.0,0.4554069951756517,-0.568845832301812,-4.427107205924896,17,3
2024-03-26,443.32000732421875,1.0,0.46335671275283885,-1.1165776696857033,-3.791842750354346,17,3
2024-03-27,444.8299865722656,1.0,0.4662689853589582,0.12139661471184393,-4.581519902081399,17,3
2024-03-28,444.010009765625,1.0,0.40208379848323006,-1.2927683218184716,-2.930116321587539,17,0
2024-04-01,444.95001220703125,1.0,0.4370542281764535,-3.121702273821847,-2.7418837784759287,17,3
2024-04-02,441.1099853515625,1.0,0.4345779028926707,-2.2692706083424885,-3.7450952284622474,17,3
2024-04-03,442.1000061035156,2.0,0.42509969861643576,-3.677903085533507,-4.655059218665791,14,3
2024-04-04,435.3399963378906,2.0,0.4107478238111243,-2.7403851647303634,-1.9387151450370066,14,0
2024-04-05,440.4700012207031,3.0,0.4911745187847452,-5.8619218681549405,-1.1328785662010787,11,7
2024-04-08,440.6000061035156,3.0,0.5675428341260358,-4.943258846478504,-0.07943851535794355,11,12
2024-04-09,442.2300109863281,3.0,0.5599849841171142,-3.8803344946754192,-0.4319027688440724,11,12
2024-04-10,438.3699951171875,3.0,0.4849367745126066,-2.705473796944524,0.38551964327633303,11,7
2024-04-11,445.3699951171875,4.0,0.48564706895352416,-4.697214257698635,-0.9767173700983234,8,7
2024-04-12,438.2699890136719,4.0,0.4151051762717013,-1.658792341687143,0.8647657014917431,8,0
2024-04-15,431.05999755859375,5.0,0.3880024390727279,0.3920573588312548,2.788472389400498,5,0
2024-04-16,431.1000061035156,6.0,0.40456121304047427,-1.5100927101499129,3.440033950893673,2,0
2024-04-17,425.8399963378906,6.0,0.3973399750585683,-1.0144672556287926,6.3544988238076305,2,0
2024-04-18,423.4100036621094,7.0,0.33103065153505534,0.824257859802513,6.747598563358048,0,0
2024-04-19,414.6499938964844,8.0,0.3233116502125483,5.023518002280225,8.949720587335875,0,0
2024-04-22,418.82000732421875,9.0,0.3610873353512308,5.116754763626119,8.617065972675109,0,0
2024-04-23,425.07000732421875,8.0,0.42010102799904436,3.5876443261658286,7.229392791599842,0,3
2024-04-24,426.510009765625,8.0,0.392425211838813,3.1769448506999254,6.846259412645206,0,0
2024-04-25,424.45001220703125,8.0,0.398179670868807,3.90387002711603,6.881844885147648,0,0
2024-04-26,431.0,8.0,0.39070151972075373,2.566124723571628,6.252903064276394,0,0
2024-04-29,432.75,8.0,0.39066577549596015,2.3870564002924644,6.222990797407557,0,0
