
==========================================================
  Fast OHLCV Pre-fetch (Polygon-parallel)  [2026-05-18]
==========================================================
  Universe: 5021 tickers | workers=8 | timeout=8s
  Period: 290d | Source: Polygon only (fast-fail)
  Already fresh: 450 | Need fetch: 4571
  [0/5021] ok=0 fail=0 skip=0 | 0/min | ETA 502100s
  [87/5021] ok=0 fail=8 skip=79 | 16/min | ETA 18510s
  [102/5021] ok=1 fail=22 skip=79 | 23/min | ETA 12835s
  [113/5021] ok=1 fail=33 skip=79 | 23/min | ETA 12994s
  [131/5021] ok=6 fail=46 skip=79 | 26/min | ETA 11288s
  [147/5021] ok=6 fail=62 skip=79 | 27/min | ETA 10756s
  [168/5021] ok=9 fail=80 skip=79 | 30/min | ETA 9818s
  [184/5021] ok=9 fail=96 skip=79 | 30/min | ETA 9680s
  [200/5021] ok=10 fail=111 skip=79 | 30/min | ETA 9567s
  [216/5021] ok=10 fail=127 skip=79 | 30/min | ETA 9475s
  [231/5021] ok=11 fail=141 skip=79 | 30/min | ETA 9459s
  [247/5021] ok=11 fail=157 skip=79 | 31/min | ETA 9382s
  [263/5021] ok=11 fail=173 skip=79 | 31/min | ETA 9313s
  [279/5021] ok=11 fail=189 skip=79 | 31/min | ETA 9251s
  [297/5021] ok=13 fail=205 skip=79 | 31/min | ETA 9105s
  [312/5021] ok=13 fail=220 skip=79 | 31/min | ETA 9098s
  [325/5021] ok=13 fail=233 skip=79 | 31/min | ETA 9166s
  [341/5021] ok=13 fail=249 skip=79 | 31/min | ETA 9113s
  [356/5021] ok=15 fail=262 skip=79 | 31/min | ETA 9097s
  [372/5021] ok=15 fail=278 skip=79 | 31/min | ETA 9047s
  [391/5021] ok=19 fail=293 skip=79 | 31/min | ETA 8906s
  [407/5021] ok=19 fail=309 skip=79 | 31/min | ETA 8865s
  [423/5021] ok=19 fail=325 skip=79 | 31/min | ETA 8824s
  [439/5021] ok=19 fail=341 skip=79 | 31/min | ETA 8784s
  [455/5021] ok=19 fail=357 skip=79 | 31/min | ETA 8746s
  [471/5021] ok=19 fail=373 skip=79 | 31/min | ETA 8708s
  [504/5021] ok=19 fail=389 skip=96 | 31/min | ETA 8638s
  [667/5021] ok=19 fail=404 skip=244 | 31/min | ETA 8339s
  [733/5021] ok=19 fail=420 skip=294 | 31/min | ETA 8207s
  [747/5021] ok=19 fail=434 skip=294 | 31/min | ETA 8210s
  [761/5021] ok=22 fail=445 skip=294 | 31/min | ETA 8212s
  [777/5021] ok=22 fail=461 skip=294 | 31/min | ETA 8173s
  [797/5021] ok=26 fail=477 skip=294 | 31/min | ETA 8063s
  [813/5021] ok=26 fail=493 skip=294 | 31/min | ETA 8028s
  [830/5021] ok=30 fail=506 skip=294 | 32/min | ETA 7977s
  [846/5021] ok=30 fail=522 skip=294 | 32/min | ETA 7943s
  [862/5021] ok=30 fail=538 skip=294 | 32/min | ETA 7910s
  [878/5021] ok=30 fail=554 skip=294 | 32/min | ETA 7876s
  [894/5021] ok=30 fail=570 skip=294 | 32/min | ETA 7843s
  [909/5021] ok=30 fail=585 skip=294 | 32/min | ETA 7824s
  [921/5021] ok=30 fail=597 skip=294 | 31/min | ETA 7850s
  [935/5021] ok=30 fail=611 skip=294 | 31/min | ETA 7844s
  [954/5021] ok=33 fail=627 skip=294 | 31/min | ETA 7767s
